AccountNo,BetDate,ClassId,CategoryId,Source,BetCount,Bet_Amt,Win_Amt,Product,Vegas,Sportsbook,Games,Casino,Poker,Bingo,#N/A,Adjustments
01148BP   ,2012-09-19,2,9,I,1,200.0,0.0,Sportsbook,,,,,,,,
01148BP   ,2012-09-30,2,9,M,1,200.0,0.0,Sportsbook,,,,,,,,
01148BP   ,2012-10-31,2,9,N,1,200.0,0.0,Sportsbook,,,,,,,,
01148BP   ,2012-11-22,2,9,I,1,200.0,0.0,Sportsbook,,,,,,,,
01196ZZ   ,2012-10-20,22528_PRCH,22528,I,1,200.0,0.0,Casino,,,,,,,,
01196ZZ   ,2012-12-07,22512_XFER,22512,I,2,200.0,0.0,Vegas,,,,,,,,
01196ZZ   ,2012-12-21,22512_XFER,22512,I,1,200.0,0.0,Vegas,,,,,,,,
01284UW   ,2012-10-30,36,5,I,2,200.0,0.0,Sportsbook,,,,,,,,
00C017    ,2012-09-18,22527_PRCH,22527,I,1,190.0,0.0,Poker,,,,,,,,
00C017    ,2012-10-21,22527_PRCH,22527,I,2,190.0,0.0,Poker,,,,,,,,
01152SJ   ,2012-10-10,22528_PRCH,22528,I,1,186.6368,0.0,Casino,,,,,,,,
01152SJ   ,2012-11-04,22528_PRCH,22528,I,1,186.544,0.0,Casino,,,,,,,,
00J381    ,2012-09-08,2,9,N,1,180.0,0.0,Sportsbook,,,,,,,,
00J381    ,2012-09-27,2,9,M,2,180.0,0.0,Sportsbook,,,,,,,,
00J381    ,2012-10-20,323,9,M,1,180.0,402.19,Sportsbook,,,,,,,,
00J381    ,2012-11-16,323,9,M,1,180.0,1608.75,Sportsbook,,,,,,,,
00J381    ,2012-12-29,1,5,M,3,180.0,0.0,Sportsbook,,,,,,,,
01196ZZ   ,2012-09-29,1,5,I,5,180.0,91.67,Sportsbook,,,,,,,,
00J381    ,2012-11-17,2,9,M,1,178.0,0.0,Sportsbook,,,,,,,,
01152SJ   ,2012-12-13,22528_PRCH,22528,I,4,174.0428,0.0,Casino,,,,,,,,
01152SJ   ,2012-10-19,22528_PRCH,22528,I,1,171.9011,0.0,Casino,,,,,,,,
00J381    ,2012-09-30,1,5,M,4,170.0,0.0,Sportsbook,,,,,,,,
00J381    ,2012-11-30,2,9,N,1,170.0,0.0,Sportsbook,,,,,,,,
01152SJ   ,2012-09-20,22528_PRCH,22528,I,1,160.0591,0.0,Casino,,,,,,,,
00C017    ,2012-10-28,22527_PRCH,22527,I,1,160.0,0.0,Poker,,,,,,,,
00J381    ,2012-10-19,2,9,N,1,160.0,0.0,Sportsbook,,,,,,,,
01196ZZ   ,2012-09-23,1,5,M,2,160.0,300.91,Sportsbook,,,,,,,,
00J381    ,2012-09-29,1,5,M,5,155.0,0.0,Sportsbook,,,,,,,,
01284UW   ,2012-12-08,46,5,I,14,155.0,97.75,Sportsbook,,,,,,,,
00J381    ,2012-09-10,45,17,M,1,153.63,0.0,Sportsbook,,,,,,,,
00C017    ,2012-11-10,22527_PRCH,22527,I,2,152.99,0.0,Poker,,,,,,,,
00357DG   ,2012-12-05,635,0,I,33,151.0,41.6,Games,,,,,,,,
00J381    ,2012-11-26,323,9,M,1,150.31,1343.4,Sportsbook,,,,,,,,
00C017    ,2012-09-16,22527_PRCH,22527,I,2,150.0,0.0,Poker,,,,,,,,
00C017    ,2012-12-04,22527_PRCH,22527,I,1,150.0,0.0,Poker,,,,,,,,
00C017    ,2012-12-12,22527_PRCH,22527,I,2,150.0,0.0,Poker,,,,,,,,
00C017    ,2012-12-23,22527_PRCH,22527,I,1,150.0,0.0,Poker,,,,,,,,
00J381    ,2012-09-02,323,9,M,1,150.0,0.0,Sportsbook,,,,,,,,
00J381    ,2012-09-03,323,9,M,1,150.0,0.0,Sportsbook,,,,,,,,
